# Catalogo degli aeroporti: da codice IATA/ICAO a nome leggibile.
#
#   codice[/codice],forma breve,nome completo
#
# Questo file NON e' tuo: viene rifatto a ogni aggiornamento
# e le modifiche andrebbero perse. Le tue correzioni vanno in
# aeroporti.csv, che vince sempre su questo.
#
# Fonte: OurAirports (pubblico dominio). Scali, non eliporti.
# 18361 voci.
AAA/NTGA,Anaa,Anaa Airport
AXE/SSXX,Xanxerê,Xanxerê Airport
AXF/ZBAL,Bayanhot,Alxa Left Banner Bayanhot Airport
AXG/KAXA,Algona,Algona Municipal Airport
AXJ/RJDA,Amakusa,Amakusa Airport
AXK/OYAT,Ataq,Ataq Airport
AXL/YALX,Alexandria Homestea,Alexandria Homestead Airport
AXM/SKAR,Armenia,Armenia El Eden Airport
AXN/KAXN,Alexandria,Alexandria Chandler Field
AXO,Kabir,Pantar Kabir Airport
AXP/MYAP,Spring Point,Spring Point Airport
AXR/NTGU,Arutua,Arutua Airport
AXS/KAXS,Altus,Altus Quartz Mountain Regional Airport
AXT/RJSK,Akita,Akita Airport
AXU/HAAX,Axum,Axum Airport
AXV/KAXV,Wapakoneta,Wapakoneta Neil Armstrong Airport
AXX/KAXX,Angel Fire,Angel Fire Airport
AYA,Ayapel,Ayapel Airport
AYAB,Ambulua,Ambulua Ambaluwa Airstrip
AYAC,Akwom,Akwom Airstrip
AYAD,Sindeni,Sindeni Ande Airstrip
AYAH,Ali,Ali Airstrip
AYAJ,Ambua Lodge - Tari,Ambua Airstrip
AYAU,Arou,Arou Airstrip
AYAV,Arkosame Airstrip,Arkosame Airstrip
AYAZ,Asimba,Asimba Airstrip
AYBB,Bak,Bak Airstrip
AYBE,Boure,Boure Airstrip
AYBJ,Bank,Bank Airstrip
AYBN,Baina,Baina Airstrip
AYBS,Begesin,Begesin Airstrip
AYBT,Batri,Batri Airstrip
AYBW,Blackwara,Blackwara Airport
AYBX,Wowobo,Wowobo Airstrip
AYBY,Wuyabo,Wuyabo Airstrip
AYC,Ayacucho,Ayacucho Airport
AYCN,Changriwa,Changriwa Airstrip
AYD,Alroy Downs,Alroy Downs Airport
AYDA,Dahamo Village,Dahamo Airstrip
AYDD,Dobu,Dobu Airstrip
AYDM,Duranmin,Duranmin Airstrip
AYDP,Tsendiap,Tsendiap Airstrip
AYDQ,Dimisisi,Dimisisi Airstrip
AYDS,Dusin,Dusin Airport
AYDW,Dewara,Dewara Airstrip
AYDY,Sindeni,Sindeni Airstrip
AYEG,Mengina,Mengina Airstrip
AYEI,Milei,Milei Airstrip
AYEK,Membok,Membok Airstrip
AYEM,Eleme,Eleme Airstrip
AYEU,Eloaua Island,Eloaua Airstrip
AYEY,Mirsey,Mirsey Airstrip
AYEZ,Moropote,Moropote Airstrip
AYFF,Faia,Faia Airport
AYFK,Foroko,Foroko Airstrip
AYFO,Fogomaiu,Fogomaiu Airstrip
AYFS,Fugari,Fugari Fas Airstrip
AYFW,Kwieftim,Kwieftim Airstrip
AYG/SKYA,San Vicente Del,San Vicente Del Caguán Yaguara Airport
AYGD,Amusa,Amusa Gimi Airstrip
AYGE,Geigorobi,Geigorobi Airstrip
AYGH,Guhu,Guhu Airstrip
AYGM,Gema,Gema Airstrip
AYGO,Gokto,Gokto Airstrip
AYGQ,Gawa,Gawa Airstrip
AYGW,Guwasa,Guwasa Airport
AYGY,Guavi,Guavi Airstrip
AYHA,Haia,Haia Airport
AYHJ,Hewa,Hewa Airstrip
AYHL,Hesalibi,Hesalibi Airstrip
AYHN,Habina,Habina Airstrip
AYHQ,Hauna,Hauna Airstrip
AYHT,Hotmin Mission,Hotmin Airstrip
AYHW,Haewenai,Haewenai Airstrip
AYHX,Herowana,Herowana Herowena Airstrip
AYHY,Huya,Huya Airstrip
AYI,Yari,Yari Airport
AYIB,Ibil,Ibil Airstrip
AYIN,Busilmin,Busilmin Airstrip
AYIP,Iropena,Iropena Airstrip
AYIR,Inaru,Inaru Airstrip
AYIS,Isan,Isan Airstrip
AYIT,Iteri,Iteri Airstrip
AYJ/VEAY,Faizabad,Faizabad Maharshi Valmiki International Airport
AYJE,Yomneri,Yomneri Airstrip
AYJW,Wauru Airstrip,Wauru Airstrip
AYK/UAUR,Arkalyk,Arkalyk North Airport
AYKL,Kafle,Kafle Airstrip
AYKN,Kubuna Mission,Kubuna Airstrip
AYKZ,Kairiru Island,Kairiru Airstrip
AYL/YANL,Anthony Lagoon,Anthony Lagoon Airport
AYLC,Lake Campbell,Lake Campbell Airstrip
AYLE,Leli,Leli Lele Airstrip
AYLH,Klauhau,Klauhau Airstrip
AYLJ,Maravo,Maravo Lamogai Airstrip
AYLQ,Lagoon,Lagoon Airstrip
AYLY,Myola,Myola Airstrip
AYLZ,Slai,Slai Airstrip
AYMF,Runakuma,Runakuma Maimafu Airstrip
AYMG,Magleri,Magleri Airstrip
AYMK,Mok,Mok Airport
AYMU,Muluma Airstrip,Muluma Airstrip
AYMX,Mamusi,Mamusi Airstrip
AYMY,Smok,Smok Airstrip
AYN/ZHAY,Anyang,Anyang Yindu Airport
AYNF,Nagri,Nagri Airport
AYNH,Gumbarami,Gumbarami Nahu Airstrip
AYNP,Momonup,Momonup Airstrip
AYNT,Kantobo,Kantobo Airstrip
AYO/SGAY,Ayolas,Aeropuerto Nacional Juan de Ayolas
AYOA,Kwomtari,Kwomtari Airstrip
AYOD,Obura,Obura Airstrip
AYOH,Okisai,Okisai Airstrip
AYOS,Kosimbi Mission,Kosimbi Airstrip
AYOU,Kombaku,Kombaku Airstrip
AYOX,Moi,Moi Airstrip
AYOZ,Kora,Kora Airstrip
AYP/SPHO,Ayacucho,Ayacucho Air Force Colonel Alfredo Mendivil Duarte Airport
AYPA,Somokopa,Somokopa Airstrip
AYPI,Kapi,Kapi Airstrip
AYPS,Maposi,Maposi Airstrip
AYPW,Panakawa,Panakawa Airport
AYQ/YAYE,Yulara,Yulara Ayers Rock Connellan Airport
AYQB,Simbari,Simbari Airstrip
AYQM,Simogu,Simogu Airstrip
AYQR,Sorimi,Sorimi Airstrip
AYQU,Tsumba Mission,Tsumba Airstrip
AYQV,Sinow,Sinow Airstrip
AYQW,Sumwari,Sumwari Airstrip
AYR/YAYR,Ayr,Ayr Airport
AYRD,Maingi,Maingi Rano Airstrip
AYRJ,Mariama,Mariama
AYRL,Maralina,Maralina Airstrip
AYRN,Norambi,Norambi Airstrip.
AYRR,Tiri,Tiri Airstrip
AYRT,Kirinbit,Kirinbit Airstrip
AYS/KAYS,Waycross,Waycross Ware County Airport
AYSB,Sirebi,Sirebi Airstrip
AYSI,Seltamin,Seltamin Airstrip
AYSM,Samberigi Mission,Samberigi Airstrip
AYSR,Sangera,Sangera Airstrip
AYST,Sturt Island,Sturt Island Airport
AYSY,Serai,Serai Serra Airstrip
AYSZ,Samanzing,Samanzing Airstrip
AYT/LTAI,Antalya,Antalya International Airport
AYTC,Mutam,Mutam Tapila Airstrip
AYTD,Tetehui,Tetehui Teredau Airport
AYTL,Talbakul,Talbakul Airstrip
AYTM,Tamo,Tamo Airstrip
AYTQ,Tapen,Tapen Airstrip
AYTX,Matak,Matak Airstrip
AYU/AYAY,Aiyura Valley,Aiyura Airport
AYUA,Utai,Utai Airstrip
AYUG,Wa'ahun,Wa'ahun Brugam Airstrip
AYUJ,Mukvi,Mukvi Airstrip
AYUK,Mukili,Mukili Airstrip
AYUL,Musula,Musula Airstrip
AYUN,Bunam,Bunam Airstrip
AYUO,Omaura,Omaura Airstrip
AYUQ,Kumbwareta,Kumbwareta Airstrip
AYUS,Suame,Suame Airstrip
AYUT,Bunguwat,Bunguwat Airstrip
AYUV,Tuvau,Tuvau Airstrip
AYUX,Usarumpia,Usarumpia Airstrip
AYVA,Hepa,Hepa Vailala Airstrip
AYVB,Tobou,Tobou Airstrip
AYVK,Abrau,Abrau Wokien Airstrip
AYVP,Woposali,Woposali Airstrip
AYVY,Yembiyembi,Yembiyembi Yembi Yembi Airstrip
AYW/WASA,Ayawasi,Ayawasi Airport
AYWE,Wangeto,Wangeto Airstrip
AYWL,Walagu Airstrip,Walagu Airstrip
AYWM,Wasengla Airstrip,Wasengla Airstrip
AYWN,Nugwaia,Nugwaia Airstrip
AYWV,Warasai,Warasai Airstrip
AYWX,Wario Airstrip,Wario Airstrip
AYWY,Iorogobayu,Iorogobayu Waro Airstrip
AYX/SPAY,Atalaya,Atalaya Teniente General Gerardo Pérez Pinedo Airport
AYXA,Wiawia,Wiawia Airstrip
AYXB,Buluwo,Buluwo Airstrip
AYXG,Sugu,Sugu Airstrip
AYXS,Sisamin,Sisamin Airstrip
AYXY,Yebil,Yebil Airstrip
AYYA,Yabru Airstrip,Yabru Airstrip
AYYC,Yagiap Airstrip,Yagiap Airstrip
AYYD,Yatoam,Yatoam Airstrip
AYYG,Yemin,Yemin Airstrip
AYYI,Yili,Yili Airstrip
AYYJ,Yanungen,Yanungen Airstrip
AYYN,Yimnalem,Yimnalem Airstrip
AYYQ,Yagrombok,Yagrombok Airstrip
AYYT,Mount Tauwa,Mount Tauwa Airstrip
AYYU,Mui,Mui Airstrip
AYYV,Yawa,Yawa Airstrip
AYYW,Yawan,Yawan Airstrip
AYYZ,Yambaitok,Yambaitok
AYZB,Sibilanga Mission,Sibilanga Airstrip
AYZQ,Sopise,Sopise Airstrip
AYZU,Oum,Oum Airstrip
AYZW,Siawi,Siawi Airstrip
AYZY,Yilui,Yilui Airstrip
AYZZ,Zuebak,Zuebak Airstrip
AZA/KIWA,Mesa,Mesa Gateway Airport
AZB,Amazon Bay,Amazon Bay Airport
AZD/OIYY,Yazd,Yazd Shahid Sadooghi Airport
AZG,Apatzingán,Apatzingán - Pablo L. Sidar Airport
AZH/VEAH,Azamgarh,Azamgarh Airport
AZI/OMAD,Abu Dhabi,Abu Dhabi Al Bateen Executive Airport
AZJ/ZSDL,Zhenjiang,Zhenjiang Dalu Airport
AZL/SWTU,Sapezal,Sapezal Fazenda Tucunaré Airport
AZN/UZFA,Andijan,Andijan International Airport
AZO/KAZO,Kalamazoo,Kalamazoo/Battle Creek International Airport
AZP/MMJC,Atizapán de Zaragoz,Atizapán de Zaragoza Jorge Jiménez Cantú National Airport
AZR/DAUA,Adrar,Adrar Touat-Cheikh Sidi Mohamed Belkebir Airport
AZS/MDCY,Samana,Samana Samaná El Catey International Airport
AZT,Zapatoca,Zapatoca Airport
AZZ/FNAM,Ambriz,Ambriz Airport
BAA/AYBL,"Bialla, Matalilu",Bialla Airport
BAB/KBAB,Beale Air Force,Beale Air Force Base
BAC,Barranca De Upia,Barranca De Upia Airport
BAD/KBAD,Bossier City,Bossier City Barksdale Air Force Base
BAE/LFMR,"Saint-Pons, Alpes-d",Barcelonnette - Saint-Pons Airfield
BAF/KBAF,Westfield,Westfield-Barnes Regional Airport
BAG/RPUB,Baguio,Baguio Loakan Airport
BAH/OBBI,Manama,Manama Bahrain International Airport
BAI/MRBA,Punta Arenas,Punta Arenas Buenos Aires Airport
BAJ,Unea Island,Unea Island Bali Airport
BAL/LTCJ,Batman,Batman Airport
BAM/KBAM,Battle Mountain,Battle Mountain Airport
BAN/FZVR,Basongo,Basongo Airport
BAQ/SKBQ,Barranquilla,Barranquilla Ernesto Cortissoz International Airport
BAR/ZJQH,Qionghai (Basuo),Qionghai Bo'ao Airport
BAS/AGGE,Ballalae,Ballalae Airport
BAT/SBBT,Barretos,Barretos Chafei Amsei Airport
BAV/ZBOW,Baotou,Baotou Donghe International Airport
BAX/UNBB,Barnaul,Barnaul Gherman Titov International Airport
BAY/LRBM,Tăuții-Măgherăuș,Tăuții-Măgherăuș Maramureș International Airport
BAZ/SWBC,Barcelos,Barcelos Airport
BBA/SCBA,Balmaceda,Balmaceda Airport
BBB/KBBB,Benson,Benson Municipal Airport
BBC/KBYY,Bay City,Bay City Regional Airport
BBD/KBBD,Brady,Brady Curtis Field
BBG/NGTU,Butaritari,Butaritari Airport
BBH/EDBH,Barth,Stralsund-Barth Airport
BBI/VEBS,Bhubaneswar,Bhubaneswar Biju Patnaik International Airport
BBJ/EDRB,Bitburg,Bitburg Airport
BBK/FBKE,Kasane,Kasane International Airport
BBL/YLLE,Ballera,Ballera Airport
BBM/VDBG,Battambang,Battambang Airport
BBN/WBGZ,Bario,Bario Airport
BBO/HCMI,Berbera,Berbera Airport
BBP/EGHJ,"Bembridge, Isle of",Bembridge Airport
BBQ/TAPB,Codrington,Codrington Burton-Nibbs International Airport
BBR/TFFB,Basse-Terre,Basse-Terre Baillif Airport
BBS/EGLK,"Camberley, Surrey","Camberley, Surrey Blackbushe Airport"
BBT/FEFT,Berbérati,Berbérati Airport
BBU/LRBS,Bucharest,Bucharest Băneasa Aurel Vlaicu International Airport
BBV/DIGN,Grand-Béréby,Grand-Béréby Nero-Mer Airport
BBW/KBBW,Broken Bow,Broken Bow Municipal Airport
BBX/KLOM,Philadelphia,Philadelphia Wings Field
BBY/FEFM,Bambari,Bambari Airport
BBZ/FLZB,Zambezi,Zambezi Airport
BCA/MUBA,Baracoa,Baracoa Gustavo Rizo Airport
BCB/KBCB,Blacksburg,Blacksburg Virginia Tech Montgomery Executive Airport
BCC,Bear Creek,Bear Creek 3 Airport
BCD/RPVB,Bacolod City,Bacolod-Silay International Airport
BCE/KBCE,Bryce Canyon,Bryce Canyon Airport
BCF/FEGU,Bouca,Bouca Airport
BCG/SYBE,Kumaka,Kumaka Bemichi Airport
BCH/WPEC,Baucau,Baucau Airport
BCI/YBAR,Barcaldine,Barcaldine Airport
BCJ/ZUBC,Mianyang,Mianyang Beichuan Yongchang Airport
BCK/YBWR,Bolwarra,Bolwarra Airport
BCL/MRBC,Pococi,Pococi Barra del Colorado Airport
BCM/LRBC,Bacău,Bacău George Enescu International Airport
BCN/LEBL,Barcelona,Josep Tarradellas Barcelona-El Prat Airport
BCO,Jinka,Jinka Airport
BCP/AYBC,Bambu,Bambu Airport
BCQ,Brak,Brak Airport
BCR/SWNK,Boca do Acre,Boca do Acre Novo Campo Airport
BCS,Belle Chasse,Belle Chasse Southern Seaplane Airport
BCT/KBCT,Boca Raton,Boca Raton Airport
BCU/DNBC,Bauchi,Sir Abubakar Tafawa Balewa Bauchi State International Airport
BCV,Belmopan,Belmopan Hector Silva Airstrip
BCW,Benguera Island,Benguera Island Airport
BCX/UWUB,Beloretsk,Beloretsk Airport
BCZ,Bickerton Island,Bickerton Island Milyakburra Airport
BDA/TXKF,Hamilton,Hamilton L.F. Wade International Airport
BDB/YBUD,Bundaberg,Bundaberg Airport
BDC/SNBC,Barra do Corda,Barra do Corda Airport
BDD/YBAU,Badu Island,Badu Island Airport
BDE/KBDE,Baudette,Baudette International Airport
BDF,Bradford,Bradford Rinkenberger Restricted Landing Area
BDG/KBDG,Blanding,Blanding Municipal Airport
BDH/OIBL,Bandar Lengeh,Bandar Lengeh International Airport
BDI/FSSB,Bird Island,Bird Island Airport
BDJ/WAOO,Banjarbaru,Banjarbaru Syamsudin Noor International Airport
BDK/DIBU,Bondoukou,Bondoukou Soko Airport
BDL/KBDL,Hartford,Hartford Bradley International Airport
BDM/LTBG,Bandırma,Bandırma Airport
BDN/OPTH,Badin,Badin Talhar Airport
BDO/WICC,Bandung,Bandung Husein Sastranegara International Airport
BDP/VNCG,Bhadrapur,Bhadrapur Airport
BDQ/VABO,Vadodara,Vadodara International Airport
BDR/KBDR,Bridgeport,Bridgeport Igor I Sikorsky Memorial Airport
BDS/LIBR,Brindisi,Brindisi Airport
BDT/FZFD,Gbadolite,Gbadolite Airport
BDU/ENDU,Målselv,Målselv Bardufoss Airport
BDV/FZRB,Moba,Moba Airport
BDW/YBDF,Bedford Downs,Bedford Downs Airport
BDX,Broadus,Broadus Airport
BDY,Bandon,Bandon State Airport
BDZ/AYBG,Baindoung,Baindoung Airport
BEB/EGPL,Balivanich,Balivanich Benbecula Airport
BEC/KBEC,Wichita,Wichita Beech Factory Airport
BED/KBED,Bedford,Bedford Laurence G Hanscom Field
BEE/YBGB,Dampier Peninsula,Dampier Peninsula Beagle Bay Airport
BEF/MNBL,Bluefields,Bluefields Airport
BEG/LYBE,Belgrade,Belgrade Nikola Tesla Airport
BEH/KBEH,Benton Harbor,Benton Harbor Southwest Michigan Regional Airport
BEI/HABE,Beica,Beica Airport
BEJ/WAQT,Tanjung Redeb,Tanjung Redeb - Borneo Island Kalimarau Airport
BEK/VIBY,Bareilly,Bareilly Air Force Station
BEL/SBBE,Belém,Belém Val de Cans/Júlio Cezar Ribeiro International Airport
BEM/GMMD,Oulad Yaich,Oulad Yaich Beni Mellal Airport
BEN/HLLB,Benina,Benina International Airport
BEO/YLMQ,City of Lake,Lake Macquarie Airport
BEP/VOBI,Bellary,Bellary Airport
BEQ/EGXH,Bury Saint Edmunds,"Bury Saint Edmunds, Suffolk RAF Honington"
BER/EDDB,Berlin,Berlin Brandenburg Airport
BES/LFRB,Brest,Brest Bretagne airport
BET/PABE,Bethel,Bethel Airport
BEU/YBIE,Bedourie,Bedourie Airport
BEV/LLBS,Beersheba,Beersheba (Teyman) Airport
BEW/FQBR,Beira,Beira International Airport
BEX/EGUB,"Wallingford, Oxford","Wallingford, Oxfordshire RAF Benson"
BEY/OLBA,Beirut,Beirut Rafic Hariri International Airport
BEZ/NGBR,Beru,Beru Airport
BFA/SGBN,Bahía Negra,Bahía Negra Airport
BFC/YBMD,Bloomfield River,Bloomfield River Airport
BFD/KBFD,Bradford,Bradford Regional Airport
BFE/EDLI,Bielefeld,Bielefeld Airport
BFF/KBFF,Scottsbluff,Scottsbluff Western Neb. Rgnl/William B. Heilig Airport
BFG,Bullfrog,Bullfrog Basin Airport
BFH/SBBI,Curitiba,Curitiba Bacacheri Airport
BFI/KBFI,Seattle,Seattle King County International Airport - Boeing Field
BFJ/ZUBJ,Bijie,Bijie Feixiong Airport
BFK/KBKF,Aurora,Aurora Buckley Space Force Base
BFL/KBFL,Bakersfield,Bakersfield Meadows Field
BFM/KBFM,Mobile,Mobile Downtown Airport
BFN/FABL,Bloemfontein,Bloemfontein Bram Fischer International Airport
BFO/FVCZ,Chiredzi,Chiredzi Buffalo Range Airport
BFP/KBVI,Beaver Falls,Beaver County Airport
BFQ/MPPI,Puerto Piña,Bahia Piña Airport
BFR/KBFR,Bedford,Bedford Virgil I Grissom Municipal Airport
BFS/EGAA,Belfast,Belfast International Airport
BFT/KARW,Beaufort,Beaufort Executive Airport
BFU/ZSBB,Bengbu,Bengbu Renheji Airport
BFV/VTUO,Buriram,Buriram Buri Ram Airport
BFW/DAOS,Sidi Bel Abbès,Sidi Bel Abbes Airport
BFX/FKKU,Bafoussam,Bafoussam Airport
BFY/ZSBA,Bengbu,Bengbu Tenghu Airport
BGA/SKBG,Bucaramanga,Bucaramanga Palonegro Airport
BGB/FOGB,Booue,Booue Airport
BGC/LPBG,Bragança,Bragança Airport
BGD/KBGD,Borger,Borger Hutchinson County Airport
BGDH,Danmarkshavn,Danmarkshavn Landing Strip
BGE/KBGE,Bainbridge,Bainbridge Decatur County Industrial Air Park
BGF/FEFF,Bangui,Bangui M'Poko International Airport
BGG/LTCU,Bingöl,Bingöl Airport
BGH/GQNE,Boghe,Boghe Abbaye Airport
BGI/TBPB,Bridgetown,Bridgetown Grantley Adams International Airport
BGJ/BIBF,Borgarfjörður,Borgarfjörður eystri Airport
BGK/MZBG,Big Creek,Big Creek Airport
BGL/VNBL,Baglung,Baglung Airport
BGM/KBGM,Binghamton,Greater Binghamton/Edwin A Link field
BGMI,Station Nord,Station Nord Landing Strip
BGMV,Mestersvig,Mestersvig Airport
BGN/UESG,Belaya Gora,Belaya Gora Airport
BGO/ENBR,Bergen,"Bergen Airport, Flesland"
BGQ/PAGQ,Big Lake,Big Lake Airport
BGR/KBGR,Bangor,Bangor International Airport
BGS/UNKB,Boguchany,Boguchany Airport
BGT,Bagdad,Bagdad Airport
BGU/FEFG,Bangassou,Bangassou Airport
BGV/SSBG,Bento Gonçalves,Aeroclube de Bento Gonçalves Airport
BGW/ORBI,Baghdad,Baghdad International Airport / New Al Muthana Air Base
BGX/SBBG,Bagé,Bagé Comandante Gustavo Kraemer Airport
BGY/LIME,Orio al Serio (BG),Orio al Serio (BG) Il Caravaggio International Airport
BHA/SESV,Bahía de Caraquez,Bahía de Caraquez Los Perales Airport
BHB/KBHB,Bar Harbor,Hancock County-Bar Harbor Airport
BHC,Bhurban,Bhurban Heliport
BHD/EGAC,Belfast,George Best Belfast City Airport
BHE/NZWB,Blenheim,Blenheim Woodbourne Airport
BHF/SKCP,Bahía Solano,Bahía Solano Cupica Airport
BHG/MHBL,Brus Laguna,Brus Laguna Airport
BHH/OEBH,Bisha,Bisha Airport
BHI/SAZB,Bahía Blanca,Bahía Blanca Comandante Espora Airport
BHJ/VABJ,Bhuj,Bhuj Airport
BHK/UZSB,Bukhara,Bukhara International Airport
BHL,Ensenada,Ensenada Bahía de los Ángeles Airport
BHM/KBHM,Birmingham,Birmingham-Shuttlesworth International Airport
BHN/OYBN,Beihan,Beihan Airport
BHO/VABP,Bhopal,Bhopal Raja Bhoj International Airport
BHP/VNBJ,Bhojpur,Bhojpur Airport
BHQ/YBHI,Broken Hill,Broken Hill Airport
BHR/VNBP,Bharatpur,Bharatpur Airport
BHS/YBTH,Bathurst,Bathurst Airport
BHT,Brighton Downs,Brighton Downs Airport
BHU/VABV,Bhavnagar,Bhavnagar Airport
BHV/OPBW,Bahawalpur,Bahawalpur Airport
BHW/OPBG,Bhagatanwala,Bhagatanwala Airport
BHX/EGBB,"Birmingham, West",Birmingham Airport
BHY/ZGBH,Beihai,Beihai Fucheng Airport
BIA/LFKB,Bastia,Bastia-Poretta International airport
BIAE,Arngerðareyri,Arngerðareyri Airport
BIAL,Álftaver,Álftaver Airport
BIB/HCMB,Baidoa,Baidoa Airport
BIBA,Bakki,Bakki Airport
BIBI,Baeir,Baeir Airport
BIBR,Búðardalur,Búðardalur Airport
BIC/LFEA,Bangor,Bangor Aérodrome de Belle Île
BID/KBID,Block Island,Block Island State Airport
BIE/KBIE,Beatrice,Beatrice Municipal Airport
BIF/KBIF,Fort Bliss/El Paso,Biggs Army Air Field (Fort Bliss)
BIFL,Flúðir,Flúðir Airport
BIFZ,Forsæti,Forsæti Airport
BIG/PABI,Delta Junction Ft,Delta Junction Ft Greely Allen Army Airfield
BIGH,Gunnarsholt,Gunnarsholt Airport
BIGS,Grímsstaðir,Grímsstaðir Airport
BIH/KBIH,Bishop,Bishop Eastern Sierra Regional Airport
BIHE,Herðubreiðarlindir,Herðubreiðarlindir Airport
BIHI,Hveravellir,Hveravellir Airport
BIHL,Hella,Hella Airport
BIHR,Hvolsvöllur,Hvolsvöllur Airport
BIHS,Hrafnseyri,Hrafnseyri Airport
BIHV,Hvammstangi,Hvammstangi Krókstaðarmelar Airport
BIHY,Hrísey,Hrísey Airport
BIHZ,Húsafell,Húsafell Airport
BII,Bikini Atoll,Bikini Atoll Airport
BIJ,Biliau,Biliau Airport
BIK/WABB,Biak,Biak Frans Kaisiepo Airport
BIKA,Kaldármelar,Kaldármelar Airport
BIKE,Kerlingafjöll,Kerlingafjöll Airport
BIKJ,Kroksfjard-arnes,Kroksfjard-Arnes Airport
BIKL,Kirkjubæjarklaustur,Kirkjubæjarklaustur Airport
BIL/KBIL,Billings,Billings Logan International Airport
BIM/MYBS,South Bimini,South Bimini Airport
BIMK,Múlakot,Múlakot Airport
BIMM,Melgerðismelar,Melgerðismelar Airport
BIMS,Tungubakkar,Tungubakkar Airport
BIN/OABN,Bamyan,Bamyan Airport
BIND,Nýjidalur,Nýjidalur Airport
BIO/LEBB,Bilbao,Bilbao Airport
BIP/YBWM,Bulimba,Bulimba Airport
BIQ/LFBZ,Biarritz,Biarritz Pays Basque airport
BIR/VNVT,Biratnagar,Biratnagar Airport
BIRS,Reykjanes,Reykjanes Airport
BIS/KBIS,Bismarck,Bismarck Municipal Airport
BISA,Sandá,Sandá Airport
BISF,Selfoss,Selfoss Airport
BISG,Kalfatellsstadhur,Kalfatellsstadhur Steinasandur Airport
BISH,Stora-Holt,Stora-Holt Airport
BISK,Skógar,Skógar Skógasandur Airport
BISL,Öræfi,Öræfi Skaftafell Airport
BISN,Svínafell,Svínafell Airport
BISP,Sprengisandur,Sprengisandur Airport
BISR,Stórikroppur,Stórikroppur Airport
BISS,Sandskeið,Sandskeið Airport
BISV,Skálavatn,Skálavatn Airport
BIT/VNBT,Baitadi,Baitadi Airport
BITM,Þórsmörk,Þórsmörk Airport
BITO,Thorisos,Thorisos Airport
BIU/BIBD,Bildudalur,Bildudalur Airport
BIV/FEFR,Bria,Bria Airport
BIVA,Vatnsnes,Vatnsnes Airport
BIVH,Varmahlid,Varmahlid Airport
BIVI,Vík,Vík Airport
BIW/YBIL,Billiluna,Billiluna Airport
BIX/KBIX,Biloxi,Biloxi Keesler Air Force Base
BIY/FABE,Bisho,Bisho Airport
BIZ,Bimin,Bimin Airport
BJA/DAAE,Béjaïa,Béjaïa Soummam–Abane Ramdane Airport
BJB/OIMN,Bojnord,Bojnord Airport
BJC/KBJC,Denver,Denver Rocky Mountain Metropolitan Airport
BJE,Baleela Base Camp,Baleela Airport
BJF/ENBS,Båtsfjord,Båtsfjord Airport
BJH/VNBG,Bajhang,Bajhang Airport
BJI/KBJI,Bemidji,Bemidji Regional Airport
BJJ/KBJJ,Wooster,Wooster Wayne County Airport
BJK/WAPK,Maikoor Island,Maikoor Island Benjina Airport
BJL/GBYD,Banjul (Yundum),Banjul International Airport
BJM/HBBA,Bujumbura,Bujumbura Melchior Ndadaye International Airport
BJO/SLBJ,Bermejo,Bermejo Airport
BJP/SBBP,Bragança Paulista,Bragança Paulista Estadual Arthur Siqueira Airport
BJQ,Bahja,Bahja Airport
BJR/HABD,Bahir Dar,Bahir Dar Airport
BJU/VNBR,Bajura,Bajura Airport
BJV/LTFE,Bodrum,Milas Bodrum International Airport
BJW/WATB,"Soa, Ngada",Bajawa Soa (Turelelo) Airport
BJX/MMLO,Silao,Silao Guanajuato International Airport
BJY/LYBT,Zemun,Zemun Batajnica Air Base
BJZ/LEBZ,Badajoz,Badajoz Airport
BKA/UNIB,Baykit,Baykit Airport
BKB/VIBK,Bikaner,Bikaner Nal Airport
BKC/PABL,Buckland,Buckland Airport
BKD/KBKD,Breckenridge,Breckenridge Stephens County Airport
BKE/KBKE,Baker City,Baker City Municipal Airport
BKG/KBBG,Branson,Branson Airport
BKH/PHBK,Kekaha,Kekaha Barking Sands Airport
BKI/WBKK,Kota Kinabalu,Kota Kinabalu International Airport
BKJ/GUOK,Boké,Boké Baralande Airport
BKK/VTBS,Bangkok,Bangkok Suvarnabhumi Airport
BKL/KBKL,Cleveland,Cleveland Burke Lakefront Airport
BKM/WBGQ,Bakalalan,Bakalalan Airport
BKN/UTAN,Balkanabat,Balkanabat International Airport
BKO/GABS,Bamako,Bamako Modibo Keita International Airport
BKP/YBAW,Barkly Downs,Barkly Downs Airport
BKQ/YBCK,Blackall,Blackall Airport
BKR/FTTK,Bokoro,Bokoro Airport
BKS/WIGG,Bengkulu,Bengkulu Fatmawati Soekarno Airport
BKT/KBKT,Blackstone,Allen C Perkinson Blackstone Army Air Field
BKU/FMSV,Betioky,Betioky Airport
BKV,Bailingmiao,Bailingmiao Bailing Airport
BKW/KBKW,Beaver,Beaver Raleigh County Memorial Airport
BKX/KBKX,Brookings,Brookings Regional Airport
BKY/FZMA,Kamakombe,Kamakombe Bukavu Kavumu Airport
BKZ/HTBU,Bukoba,Bukoba Airport
BLA/SVBC,Barcelona,Barcelona General José Antonio Anzoategui International Airport
BLB/MPPA,Panamá City,Panamá Pacífico International Airport
BLC/FKKG,Bali,Bali Airport
BLD/KBVU,Boulder City,Boulder City Municipal Airport
BLE/ESSD,Borlange,Borlange Dala Airport
